Vegetable,Wholesale Price,Retail Price,Shopping Mall,Units
Onion Big,₹34,39 - 43,41 - 56,1kg
Onion Small,₹47,54 - 60,56 - 78,1kg
Tomato,₹20,23 - 25,24 - 33,1kg
Green Chilli,₹50,58 - 64,60 - 83,1kg
Beetroot,₹42,48 - 53,50 - 69,1kg
Potato,₹30,35 - 38,36 - 50,1kg
Raw Banana (Plantain),₹8,9 - 10,10 - 13,1kg
Amaranth Leaves,₹15,17 - 19,18 - 25,1kg
Amla,₹85,98 - 108,102 - 140,1kg
Ash gourd,₹17,20 - 22,20 - 28,1kg
Baby Corn,₹55,63 - 70,66 - 91,1kg
Banana Flower,₹15,17 - 19,18 - 25,1kg
Capsicum,₹42,48 - 53,50 - 69,1kg
Bitter Gourd,₹37,43 - 47,44 - 61,1kg
Bottle Gourd,₹35,40 - 44,42 - 58,1kg
Butter Beans,₹48,55 - 61,58 - 79,1kg
Broad Beans,₹45,52 - 57,54 - 74,1kg
Cabbage,₹21,24 - 27,25 - 35,1kg
Carrot,₹48,55 - 61,58 - 79,1kg
Cauliflower,₹27,31 - 34,32 - 45,1kg
Cluster beans,₹40,46 - 51,48 - 66,1kg
Coconut,₹67,77 - 85,80 - 111,1kg
Colocasia Leaves,₹18,21 - 23,22 - 30,1kg
Colocasia,₹30,35 - 38,36 - 50,1kg
Coriander Leaves,₹12,14 - 15,14 - 20,1kg
Corn,₹31,36 - 39,37 - 51,1kg
Cucumber,₹31,36 - 39,37 - 51,1kg
Curry Leaves,₹26,30 - 33,31 - 43,1kg
Dill Leaves,₹10,12 - 13,12 - 17,1kg
Drumsticks,₹130,150 - 165,156 - 215,1kg
Brinjal,₹40,46 - 51,48 - 66,1kg
Brinjal (Big),₹38,44 - 48,46 - 63,1kg
Elephant Yam,₹45,52 - 57,54 - 74,1kg
Fenugreek Leaves,₹12,14 - 15,14 - 20,1kg
French Beans,₹42,48 - 53,50 - 69,1kg
Garlic,₹128,147 - 163,154 - 211,1kg
Ginger,₹59,68 - 75,71 - 97,1kg
Onion Green,₹60,69 - 76,72 - 99,1kg
Green Peas,₹60,69 - 76,72 - 99,1kg
Ivy Gourd,₹38,44 - 48,46 - 63,1kg
Lemon (Lime),₹61,70 - 77,73 - 101,1kg
Mango Raw,₹69,79 - 88,83 - 114,1kg
Mint Leaves,₹5,6 - 6,6 - 8,1kg
Mushroom,₹85,98 - 108,102 - 140,1kg
Mustard Leaves,₹15,17 - 19,18 - 25,1kg
Ladies Finger,₹45,52 - 57,54 - 74,1kg
Pumpkin,₹21,24 - 27,25 - 35,1kg
Radish,₹27,31 - 34,32 - 45,1kg
Ridge Gourd,₹35,40 - 44,42 - 58,1kg
Shallot (Pearl Onion),₹32,37 - 41,38 - 53,1kg
Snake Gourd,₹30,35 - 38,36 - 50,1kg
Sorrel Leaves,₹17,20 - 22,20 - 28,1kg
Spinach,₹10,12 - 13,12 - 17,1kg
Sweet Potato,₹57,66 - 72,68 - 94,1kg
